group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,epsilon,1,3,5,7,10,15,20,30,50
3,S17-S24 (3s paradigm),3,0,0.2,subject,21,0.31875,160,51,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),3,0,0.2,subject,22,0.48125,160,77,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),3,0,0.2,subject,23,0.8125,160,130,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),3,0,0.2,subject,24,0.44375,160,71,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),3,0,0.2,summary,ALL,,8,,48.6,25.5,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,17,0.15625,160,25,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,18,0.8625,160,138,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,19,0.74375,160,119,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,20,0.1625,160,26,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,21,0.33125,160,53,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,22,0.49375,160,79,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,23,0.79375,160,127,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,subject,24,0.475,160,76,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),5,0,0.2,summary,ALL,,8,,50.2,25.9,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,17,0.15,160,24,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,18,0.875,160,140,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,19,0.73125,160,117,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,20,0.16875,160,27,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,21,0.3375,160,54,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,22,0.5,160,80,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,23,0.8125,160,130,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,24,0.475,160,76,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,summary,ALL,,8,,50.6,26.2,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,17,0.14375,160,23,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,18,0.9,160,144,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,19,0.74375,160,119,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,20,0.1875,160,30,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,21,0.34375,160,55,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,22,0.49375,160,79,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,23,0.79375,160,127,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,subject,24,0.45625,160,73,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),10,0,0.2,summary,ALL,,8,,50.8,26.4,,,,,,,,,,,
