group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 
3,S17-S24 (3s paradigm),7,1,0.1,subject,17,0.15625,160,25,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,18,0.89375,160,143,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,19,0.7375,160,118,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,20,0.13125,160,21,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,21,0.3125,160,50,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,22,0.5,160,80,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,23,0.85,160,136,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,subject,24,0.45625,160,73,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.1,summary,ALL,,8,,50.5,28,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,18,0.925,160,148,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,19,0.7125,160,114,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,20,0.18125,160,29,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,21,0.33125,160,53,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,22,0.50625,160,81,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,23,0.8,160,128,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,subject,24,0.43125,160,69,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.2,summary,ALL,,8,,50.4,26.9,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,18,0.9125,160,146,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,19,0.74375,160,119,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,20,0.15625,160,25,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,21,0.33125,160,53,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,22,0.46875,160,75,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,23,0.80625,160,129,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,subject,24,0.46875,160,75,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.3,summary,ALL,,8,,50.4,27.4,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,17,0.13125,160,21,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,18,0.925,160,148,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,19,0.725,160,116,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,20,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,21,0.30625,160,49,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,22,0.4875,160,78,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,23,0.79375,160,127,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,subject,24,0.4375,160,70,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.4,summary,ALL,,8,,49.4,27.9,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,18,0.90625,160,145,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,19,0.71875,160,115,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,20,0.1625,160,26,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,21,0.3,160,48,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0.5,subject,22,0.4625,160,74,,,,,,,,,,,,,,,
