group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
1,S1-S8 (2s paradigm),7,0,0.7,subject,7,0.1625,160,26,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,8,0.5375,160,86,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,summary,ALL,,8,,51.1,20.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,1,0.575,160,92,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,2,0.69375,160,111,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,3,0.75,160,120,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,4,0.45625,160,73,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,5,0.20625,160,33,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,6,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,7,0.125,160,20,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,subject,8,0.51875,160,83,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.8,summary,ALL,,8,,47.4,20.3,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,1,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,2,0.6125,160,98,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,3,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,4,0.36875,160,59,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,5,0.21875,160,35,,,,,,,,,,,,,,,
